id,clusterId,Date,connectionTime,disconnectTime,Time Diff,Total Hours,donechargingTime,kWhDelivered,sessionId,siteId,spaceID,stationID,timezone,userID,,userInput
5bc91212f9af8b0d98ff68db,39,"Thu, 26 Apr 2018",16:01:29 GMT, 24:01:37 GMT,08:00:18,8.01,"Thu, 26 Apr 2018 17:33:17 GMT",2.757,2_39_78_361_2018-04-26 16:01:29.497269,2,CA-493,2-39-78-361,America/Los_Angeles,,,
5bc91212f9af8b0d98ff68dc,39,"Thu, 26 Apr 2018", 16:01:58 GMT, 19:20:15 GMT,03:18:17,3.3,"Thu, 26 Apr 2018 19:20:10 GMT",10.248,2_39_123_23_2018-04-26 16:01:58.184015,2,CA-313,2-39-123-23,America/Los_Angeles,,,
5bc91212f9af8b0d98ff68dd,39,"Thu, 26 Apr 2018", 16:07:42 GMT, 24:44:12 GMT,08:36:30,8.61,"Fri, 27 Apr 2018 00:28:37 GMT",14,2_39_125_21_2018-04-26 16:07:42.331384,2,CA-311,2-39-125-21,America/Los_Angeles,,,
5bc91212f9af8b0d98ff68de,39,"Thu, 26 Apr 2018",16:09:35 GMT,23:56:57 GMT,07:47:22,7.79,"Thu, 26 Apr 2018 23:49:35 GMT",14.01,2_39_124_22_2018-04-26 16:09:34.799033,2,CA-312,2-39-124-22,America/Los_Angeles,,,
5bc91212f9af8b0d98ff68df,39,"Thu, 26 Apr 2018",16:20:52 GMT,18:24:32 GMT,02:03:40,2.06,"Thu, 26 Apr 2018 18:24:24 GMT",6.709,2_39_128_18_2018-04-26 16:20:51.916248,2,CA-308,2-39-128-18,America/Los_Angeles,,,
5bc91212f9af8b0d98ff68e0,39,"Thu, 26 Apr 2018", 16:21:31 GMT,27:18:49 GMT,10:57:18,10.96,"Fri, 27 Apr 2018 03:18:29 GMT",25.981,2_39_88_24_2018-04-26 16:21:30.898949,2,CA-314,2-39-88-24,America/Los_Angeles,,,
5bc91212f9af8b0d98ff68e1,39,"Thu, 26 Apr 2018", 16:38:47 GMT,24:49:04 GMT,08:10:17,8.17,"Thu, 26 Apr 2018 18:37:00 GMT",4.263,2_39_90_440_2018-04-26 16:38:46.876156,2,CA-500,2-39-90-440,America/Los_Angeles,,,
5bc91212f9af8b0d98ff68e2,39,"Thu, 26 Apr 2018", 16:41:12 GMT, 19:26:19 GMT,02:45:07,2.75,"Thu, 26 Apr 2018 19:26:14 GMT",5.723,2_39_91_441_2018-04-26 16:41:11.622709,2,CA-499,2-39-91-441,America/Los_Angeles,,,
5bc91212f9af8b0d98ff68e3,39,"Thu, 26 Apr 2018",16:53:04 GMT, 25:26:00 GMT,08:32:56,8.55,"Thu, 26 Apr 2018 18:25:40 GMT",4.384,2_39_92_442_2018-04-26 16:53:04.473197,2,CA-498,2-39-92-442,America/Los_Angeles,,,
5bc91212f9af8b0d98ff68e4,39,"Thu, 26 Apr 2018",16:58:21 GMT, 24:22:16 GMT,07:23:55,7.4,"Fri, 27 Apr 2018 00:22:10 GMT",9.914,2_39_78_364_2018-04-26 16:58:20.585146,2,CA-495,2-39-78-364,America/Los_Angeles,,,
5bc91212f9af8b0d98ff68e5,39,"Thu, 26 Apr 2018", 17:08:18 GMT,25:56:01 GMT,08:47:43,8.8,"Fri, 27 Apr 2018 00:56:59 GMT",10.411,2_39_78_362_2018-04-26 17:08:18.246027,2,CA-496,2-39-78-362,America/Los_Angeles,,,
5bc91212f9af8b0d98ff68e6,39,"Thu, 26 Apr 2018", 17:11:27 GMT,25:22:10 GMT,08:10:43,8.18,"Thu, 26 Apr 2018 20:40:26 GMT",9.026,2_39_79_378_2018-04-26 17:11:27.137449,2,CA-326,2-39-79-378,America/Los_Angeles,,,
5bc91212f9af8b0d98ff68e7,39,"Thu, 26 Apr 2018", 17:15:26 GMT,25:21:54 GMT,08:06:28,8.11,"Thu, 26 Apr 2018 21:23:13 GMT",14.422,2_39_95_444_2018-04-26 17:15:25.771871,2,CA-497,2-39-95-444,America/Los_Angeles,,,
